Realm,Type,Population,Horde,Alliance
Area 52,PvE,24032,23793,239
Barthilas,PvP,9801,9569,232
Bleeding Hollow,PvP,8869,8212,657
Dalaran,PvE,12881,4598,8283
Frostmourne,PvP,14991,1091,13900
Illidan,PvP,22149,21685,464
Kil'Jaeden,PvP,5518,4984,534
Mal'Ganis,PvP,13530,13487,43
Proudmoore,PvE,15460,957,14503
Sargeras,PvP,17842,1149,16693
Stormrage,PvE,26083,663,25420
Thrall,PvE,17506,17010,496
Tichondrius,PvP,16940,14876,2064
Zul'jin,PvE,16440,14407,2033
Ragnaros,PvP,17396,13420,3976
Azralon,PvP,10952,10773,179
Hyjal,PvE,7244,6773,471
Kel'Thuzad,PvP,6366,576,5790
Quel'Thalas,PvE,13647,6829,6818
Emerald Dream,RP-PvP,8426,4805,3621
Connected Spirestone,PvP,4232,3405,827
Arthas,PvP,3970,3633,337
Turalyon,PvE,3854,2769,1085
Connected Nagrand,PvE,5438,2313,3125
Stormreaver,PvP,3598,3376,222
Lightbringer,PvE,4868,642,4226
Connected Magtheridon,PvP,2187,1345,842
Wyrmrest Accord,RP,6903,4648,2255
Connected Whisperwind,PvE,4017,625,3392
Moon Guard,RP,5812,1275,4537
Nemesis,PvP,4530,825,3705
Connected Khaz'goroth,PvE,5103,2173,2930
Connected Burning Legion,PvP,2456,1657,799
Connected Thaurissan,PvP,1494,1454,40
Connected Bonechewer,PvP,3933,2674,1259
Connected Eredar,PvP,2271,1548,723
Connected Boulderfist,PvP,2812,1915,897
Connected Blackhand,PvE,2291,1104,1187
Connected Cho'gall,PvP,2235,1961,274
Saurfang,PvE,3604,1872,1732
Connected Mug'thol,PvP,2622,2400,222
Connected Burning Blade,PvP,1799,1591,208
Connected Doomhammer,PvE,2208,617,1591
Connected Crushridge,PvP,2094,1429,665
Connected Deathwing,PvP,2079,1569,510
Connected Kilrogg,PvE,1801,1140,661
Connected Nordrassil,PvE,1195,560,635
Aerie Peak,PvE,4273,662,3611
Connected Elune,PvE,1836,340,1496
Connected Thunderlord,PvP,2694,1516,1178
Connected Aggramar,PvE,2853,1148,1705
Connected Ner'zhul,PvP,2069,1454,615
Connected Alleria,PvE,2159,625,1534
Connected Khaz Modan,PvE,1901,654,1247
Connected Shadowmoon,PvP,2111,991,1120
Connected Skullcrusher,PvP,1567,1433,134
Connected Alexstrasza,PvE,1653,540,1113
Aman'Thul,PvE,2673,765,1908
Connected Bladefist,PvE,2177,1066,1111
Connected Silvermoon,PvE,2338,925,1413
Connected Velen,PvE,2108,908,1200
Connected Suramar,PvE,1624,568,1056
Connected Shattered Hand,PvP,2175,1831,344
Connected Hellscream,PvE,2571,1154,1417
Connected Ghostlands,PvE,1359,497,862
Gallywix,PvE,1390,778,612
Connected Lothar,PvE,1217,342,875
Cenarius,PvE,1888,596,1292
Connected Dragonblight,PvE,1583,616,967
Connected Skywall,PvE,1562,512,1050
Connected Icecrown,PvE,2235,574,1661
Blackrock,PvP,1256,1176,80
Earthen Ring,RP,2328,1665,663
Connected Alterac Mountains,PvP,1663,1357,306
Connected Thunderhorn,PvE,1585,597,988
Connected Korialstrasz,PvE,1350,309,1041
Connected Anvilmar,PvE,1011,301,710
Connected Azuremyst,PvE,1347,509,838
Drakkari,PvP,2585,1716,869
Connected Trollbane,PvE,2721,1256,1465
Darkspear,PvP,2281,807,1474
Connected Llane,PvE,1803,662,1141
Goldrinn,PvE,3093,1088,2005
Connected Ysera,PvE,2438,856,1582
Connected Vek'nilash,PvE,1654,536,1118
Connected Draenor,PvE,1713,595,1118
Connected Shadow Council,RP,1422,464,958
Connected Sen'Jin,PvE,1817,1042,775
Connected Shandris,PvE,1361,473,888
Connected Shu'halo,PvE,1719,654,1065
Connected Terenas,PvE,1805,611,1194
Connected Bloodhoof,PvE,2584,1132,1452
Connected Jubei'Thos,PvP,2428,1895,533
Connected Frostwolf,PvP,1033,576,457
Connected Zuluhed,PvP,1757,1302,455
Connected Madoran,PvE,1290,525,765
Connected Kargath,PvE,1596,538,1058
Korgath,PvP,2194,921,1273
Connected Drenden,PvE,1240,357,883
Connected Argent Dawn,RP,1439,638,801
Connected Maelstrom,RP-PvP,1132,736,396
Connected Uldum,PvE,1500,582,918
Connected Windrunner,PvE,1728,465,1263
Connected Rexxar,PvE,1570,644,926
Connected Kirin Tor,RP,1719,689,1030
Connected Mannoroth,PvP,991,360,631
Garona,PvE,1262,311,951
Connected Silver Hand,RP,1931,915,1016
Connected Exodar,PvE,1401,281,1120
Connected Uther,PvE,1987,1024,963
Connected Cenarion Circle,RP,1145,633,512
Connected Moonrunner,PvE,1201,153,1048
Connected Ravencrest,PvE,1581,482,1099
Connected Feathermoon,RP,1749,539,1210
Garrosh,PvE,864,572,292
Connected Shadowsong,PvE,1362,454,908
Connected Perenolde,PvE,1029,249,780
Connected Greymane,PvE,1822,448,1374
Tol Barad,PvP,548,208,340
Connected Ravenholdt,RP-PvP,947,457,490
